"GO.ID","Term_full","Ontology","Annotated","Significant","Expected","PValue","Gene_IDs","Gene_symbols","Algorithm","PValue_FDR"
"GO:0009435","NAD biosynthetic process","BP",10,1,0.06,0.0561083065787692,"ENSCHAG00000008180","si:dkey-145c18.3","classic",1
"GO:0035088","establishment or maintenance of apical/basal cell polarity","BP",10,1,0.06,0.0561083065787692,"ENSCHAG00000001285","atp1b1a","classic",1
"GO:0042752","regulation of circadian rhythm","BP",10,1,0.06,0.0561083065787692,"ENSCHAG00000012664","nr1d1","classic",1
"GO:0043588","skin development","BP",10,1,0.06,0.0561083065787692,"ENSCHAG00000001285","atp1b1a","classic",1
"GO:0044839",NA,"BP",10,1,0.06,0.0561083065787692,"ENSCHAG00000001076","foxm1","classic",1
"GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity","BP",10,1,0.06,0.0561083065787692,"ENSCHAG00000001285","atp1b1a","classic",1
"GO:0061245",NA,"BP",10,1,0.06,0.0561083065787692,"ENSCHAG00000001285","atp1b1a","classic",1
"GO:0065008",NA,"BP",362,5,2.08,0.0570031536906393,"ENSCHAG00000001285, ENSCHAG00000003517, ENSCHAG00000003862, ENSCHAG00000021706, ENSCHAG00000022110","atp1b1a, F13A1, ENSCHAG00000003862, scinla, RDH8","classic",1
"GO:0030163","protein catabolic process","BP",155,3,0.89,0.0598240917365896,"ENSCHAG00000003267, ENSCHAG00000025006, ENSCHAG00000025013","usp18, spata18, usp46","classic",1
"GO:0006541","glutamine metabolic process","BP",11,1,0.06,0.061545564205733,"ENSCHAG00000022196","glula","classic",1
"GO:0009126",NA,"BP",11,1,0.06,0.061545564205733,"ENSCHAG00000021596","pfas","classic",1
"GO:0009127",NA,"BP",11,1,0.06,0.061545564205733,"ENSCHAG00000021596","pfas","classic",1
"GO:0009167",NA,"BP",11,1,0.06,0.061545564205733,"ENSCHAG00000021596","pfas","classic",1
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process","BP",11,1,0.06,0.061545564205733,"ENSCHAG00000021596","pfas","classic",1
"GO:0020027","hemoglobin metabolic process","BP",11,1,0.06,0.061545564205733,"ENSCHAG00000000436","cpox","classic",1
"GO:0042541","hemoglobin biosynthetic process","BP",11,1,0.06,0.061545564205733,"ENSCHAG00000000436","cpox","classic",1
"GO:0051607","defense response to virus","BP",11,1,0.06,0.061545564205733,"ENSCHAG00000003470","ly86","classic",1
"GO:0071478",NA,"BP",11,1,0.06,0.061545564205733,"ENSCHAG00000000936","zmp:0000000711","classic",1
"GO:0070646",NA,"BP",72,2,0.41,0.0644853784255141,"ENSCHAG00000003267, ENSCHAG00000025013","usp18, usp46","classic",1
"GO:0072521",NA,"BP",161,3,0.93,0.065508246841857,"ENSCHAG00000008180, ENSCHAG00000012097, ENSCHAG00000021596","si:dkey-145c18.3, atp5mc1, pfas","classic",1
"GO:0019359",NA,"BP",12,1,0.07,0.0669519655125446,"ENSCHAG00000008180","si:dkey-145c18.3","classic",1
"GO:0019363",NA,"BP",12,1,0.07,0.0669519655125446,"ENSCHAG00000008180","si:dkey-145c18.3","classic",1
"GO:0032922","circadian regulation of gene expression","BP",12,1,0.07,0.0669519655125446,"ENSCHAG00000012664","nr1d1","classic",1
"GO:0048545","response to steroid hormone","BP",12,1,0.07,0.0669519655125446,"ENSCHAG00000025006","spata18","classic",1
"GO:0071214",NA,"BP",12,1,0.07,0.0669519655125446,"ENSCHAG00000000936","zmp:0000000711","classic",1
"GO:0104004",NA,"BP",12,1,0.07,0.0669519655125446,"ENSCHAG00000000936","zmp:0000000711","classic",1
"GO:0009725","response to hormone","BP",74,2,0.43,0.0676520630351029,"ENSCHAG00000013260, ENSCHAG00000025006","cd36, spata18","classic",1
"GO:0010564","regulation of cell cycle process","BP",74,2,0.43,0.0676520630351029,"ENSCHAG00000000936, ENSCHAG00000012653","zmp:0000000711, si:dkey-225f5.4","classic",1
"GO:0065007",NA,"BP",4609,33,26.53,0.0683337677824298,"ENSCHAG00000000936, ENSCHAG00000001076, ENSCHAG00000001217, ENSCHAG00000001249, ENSCHAG00000001285, ENSCHAG00000001576, ENSCHAG00000003500, ENSCHAG00000003517, ENSCHAG00000003862, ENSCHAG00000004711, ENSCHAG00000005408, ENSCHAG00000006655, ENSCHAG00000007917, ENSCHAG00000008000, ENSCHAG00000009573, ENSCHAG00000009593, ENSCHAG00000009841, ENSCHAG00000010108, ENSCHAG00000011503, ENSCHAG00000012653, ENSCHAG00000012664, ENSCHAG00000012776, ENSCHAG00000013260, ENSCHAG00000013538, ENSCHAG00000013742, ENSCHAG00000019366, ENSCHAG00000021706, ENSCHAG00000022110, ENSCHAG00000022113, ENSCHAG00000022120, ENSCHAG00000022129, ENSCHAG00000027469, ENSCHAG00000027494","zmp:0000000711, foxm1, gsx2, ENSCHAG00000001249, atp1b1a, pdgfra, thrb, F13A1, ENSCHAG00000003862, gpr22a, pde3a, ENSCHAG00000006655, PRKAR2B, pik3cg, fzd8a, ENSCHAG00000009593, grm8a, fnbp1l, depdc1a, si:dkey-225f5.4, nr1d1, rapgefl1, cd36, ENSCHAG00000013538, magi2a, EPHB3, scinla, RDH8, dr1, GNG12, gadd45ab, rorca, fsd1","classic",1
"GO:0001508","action potential","BP",13,1,0.07,0.0723276829698203,"ENSCHAG00000001285","atp1b1a","classic",1
"GO:0006779","porphyrin-containing compound biosynthetic process","BP",13,1,0.07,0.0723276829698203,"ENSCHAG00000000436","cpox","classic",1
"GO:0007622",NA,"BP",13,1,0.07,0.0723276829698203,"ENSCHAG00000012664","nr1d1","classic",1
"GO:0019674","NAD metabolic process","BP",13,1,0.07,0.0723276829698203,"ENSCHAG00000008180","si:dkey-145c18.3","classic",1
