"Ontology","GO.ID","Term_full","P_weight01","Significant","Annotated","Expected","Gene_symbols","P_classic","FDR_classic"
"BP","GO:0034654",NA,NA,NA,NA,NA,NA,0.101105476344965,1
"BP","GO:1903047",NA,NA,NA,NA,NA,NA,0.101871925571197,1
"BP","GO:0009615",NA,NA,NA,NA,NA,NA,0.103947166265485,1
"BP","GO:0031667",NA,NA,NA,NA,NA,NA,0.103947166265485,1
"BP","GO:0042770",NA,NA,NA,NA,NA,NA,0.103947166265485,1
"BP","GO:0071621",NA,NA,NA,NA,NA,NA,0.103947166265485,1
"BP","GO:0006950",NA,NA,NA,NA,NA,NA,0.108335619051593,1
"BP","GO:0006778",NA,NA,NA,NA,NA,NA,0.109112846859205,1
"BP","GO:0007093",NA,NA,NA,NA,NA,NA,0.109112846859205,1
"BP","GO:0042391",NA,NA,NA,NA,NA,NA,0.109112846859205,1
"BP","GO:0009150",NA,NA,NA,NA,NA,NA,0.109199200163081,1
"BP","GO:0051693",NA,NA,NA,NA,NA,NA,0.114249189623204,1
"BP","GO:1990266",NA,NA,NA,NA,NA,NA,0.114249189623204,1
"BP","GO:0009259",NA,NA,NA,NA,NA,NA,0.1166628896104,1
"BP","GO:0019693",NA,NA,NA,NA,NA,NA,0.1166628896104,1
"BP","GO:0098542",NA,NA,NA,NA,NA,NA,0.118548969269481,1
"BP","GO:0039021",NA,NA,NA,NA,NA,NA,0.119356358667544,1
"BP","GO:0097530",NA,NA,NA,NA,NA,NA,0.119356358667544,1
"BP","GO:0170034",NA,NA,NA,NA,NA,NA,0.119356358667544,1
"BP","GO:0009058",NA,NA,NA,NA,NA,NA,0.121847386222898,1
"BP","GO:0090150",NA,NA,NA,NA,NA,NA,0.124434517198337,1
"BP","GO:0050896",NA,NA,NA,NA,NA,NA,0.128010500115811,1
"BP","GO:0009056",NA,NA,NA,NA,NA,NA,0.128147741484403,1
"BP","GO:0006694",NA,NA,NA,NA,NA,NA,0.129483827522636,1
"BP","GO:0009064",NA,NA,NA,NA,NA,NA,0.129483827522636,1
"BP","GO:0009145",NA,NA,NA,NA,NA,NA,0.129483827522636,1
"BP","GO:0009206",NA,NA,NA,NA,NA,NA,0.129483827522636,1
"BP","GO:0016050",NA,NA,NA,NA,NA,NA,0.129483827522636,1
"BP","GO:0048484",NA,NA,NA,NA,NA,NA,0.129483827522636,1
"BP","GO:0009057",NA,NA,NA,NA,NA,NA,0.130492811046434,1
"BP","GO:0007165",NA,NA,NA,NA,NA,NA,0.131236292517883,1
"BP","GO:0030834",NA,NA,NA,NA,NA,NA,0.134504451053323,1
"BP","GO:0030835",NA,NA,NA,NA,NA,NA,0.134504451053323,1
"BP","GO:0033013",NA,NA,NA,NA,NA,NA,0.134504451053323,1
"BP","GO:0046854",NA,NA,NA,NA,NA,NA,0.134504451053323,1
"BP","GO:0060900",NA,NA,NA,NA,NA,NA,0.134504451053323,1
"BP","GO:0071696",NA,NA,NA,NA,NA,NA,0.134504451053323,1
"BP","GO:0009201",NA,NA,NA,NA,NA,NA,0.139496548313948,1
"BP","GO:0043242",NA,NA,NA,NA,NA,NA,0.139496548313948,1
"BP","GO:1901880",NA,NA,NA,NA,NA,NA,0.139496548313948,1
