name_in_vcf	id	sampling_location	region	longitude	latitude	collection_season	species	order_in_vcf	order_in_admixture
i_Mus_1	14F4WK306_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	108	43
i_Mus_2	14F4WK316_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	109	44
i_NDBf_1	15F3K609_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	110	45
i_NDBf_2	15F3K621_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	111	46
i_NDBf_3	15F3K601_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	112	47
i_NDBf_4	15F3K602_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	113	48
i_NDBs_1	15S3K404_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	114	65
i_NDBs_2	15S3K449_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	115	66
i_NDBs_3	15S3K410_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	116	67
i_NDBs_4	15S3K430_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	117	68
i_Pla_1	16S4Pla78_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	118	69
i_Pla_2	16S4Pla79_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	119	70
i_Pla_3	16S6Pla71_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	120	71
i_Pla_4	16S6Pla72_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	121	72
i_ScB_1	15F4XRsb625_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	122	49
i_ScB_2	15F4XRsb626_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	123	50
i_Ste_1	12S4Rsv38_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	124	73
i_Ste_2	12S4Rsv41_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	125	74
