name_in_vcf	id	sampling_location	region	latitude	longitude	collection_season	species	order_in_vcf	order_in_admixture	correct_label	correct_label_2
HWS64_Balsfjord_Atlantic	HWS64_Balsfjord_Atlantic	Balsfjord	Northeast_Atlantic__(Norwegian_Sea)	69.27	19.28	Spring	C.pallasii	70	4	Balsfjord	Balsfjord
NSSH33_Norway_Atlantic_Spring	NSSH33_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	60.428352	4.758587	Spring	C.harengus	71	95	Norway_migratory	Norway_migratory
NSSH34_Norway_Atlantic_Spring	NSSH34_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	60.428352	4.758587	Spring	C.harengus	72	96	Norway_migratory	Norway_migratory
NSSH36_Norway_Atlantic_Spring	NSSH36_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	60.428352	4.758587	Spring	C.harengus	73	97	Norway_migratory	Norway_migratory
NorthSea13_NorthSea_Atlantic_Autumn	NorthSea13_NorthSea_Atlantic_Autumn	North_Sea	Northeast_Atlantic_Ocean	58.1	6.166667	Autumn	C.harengus	74	92	North_Sea	North_Sea
NorthSea19_NorthSea_Atlantic_Autumn	NorthSea19_NorthSea_Atlantic_Autumn	North_Sea	Northeast_Atlantic_Ocean	58.1	6.166667	Autumn	C.harengus	75	93	North_Sea	North_Sea
NorthSea34_NorthSea_Atlantic_Autumn	NorthSea34_NorthSea_Atlantic_Autumn	North_Sea	Northeast_Atlantic_Ocean	58.1	6.166667	Autumn	C.harengus	76	94	North_Sea	North_Sea
Pacific16_Vancouver_Pacific	Pacific16_Vancouver_Pacific	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	77	5	Vancouver	PacificOceanPacificHerring
Pacific35_Vancouver_Pacific	Pacific35_Vancouver_Pacific	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	79	7	Vancouver	PacificOceanPacificHerring
Pacific3_Vancouver_Pacific	Pacific3_Vancouver_Pacific	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	80	8	Vancouver	PacificOceanPacificHerring
Pacific30_Vancouver_Pacific	Pacific30_Vancouver_Pacific	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	78	6	Vancouver	PacificOceanPacificHerring
Pacific44_Vancouver_Pacific	Pacific44_Vancouver_Pacific	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	81	9	Vancouver	PacificOceanPacificHerring
Pacific5_Vancouver_Pacific	Pacific5_Vancouver_Pacific	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	82	10	Vancouver	PacificOceanPacificHerring
S3Ps246_Canada_Atlantic_Spring	S3Ps246_Canada_Atlantic_Spring	Fortune_Bay	Northwest_Atlantic_Ocean	47.283333	-55.633333	Spring	C.harengus	83	57	Canada_Spring	Canada_Spring_Summer
S3Ps259_Canada_Atlantic_Spring	S3Ps259_Canada_Atlantic_Spring	Fortune_Bay	Northwest_Atlantic_Ocean	47.283333	-55.633333	Spring	C.harengus	84	58	Canada_Spring	Canada_Spring_Summer
S4TH231_Canada_Atlantic_Spring	S4TH231_Canada_Atlantic_Spring	Northumberland_Strait	Northwest_Atlantic_Ocean	46.316667	-64.15	Spring	C.harengus	85	53	Canada_Spring	Canada_Spring_Summer
S4TH244_Canada_Atlantic_Spring	S4TH244_Canada_Atlantic_Spring	Northumberland_Strait	Northwest_Atlantic_Ocean	46.316667	-64.15	Spring	C.harengus	86	54	Canada_Spring	Canada_Spring_Summer
S4TM205_Canada_Atlantic_Spring	S4TM205_Canada_Atlantic_Spring	Inner_Baie_Des_Chaleurs	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	87	59	Canada_Spring	Canada_Spring_Summer
S4TM211_Canada_Atlantic_Spring	S4TM211_Canada_Atlantic_Spring	Inner_Baie_Des_Chaleurs	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	88	60	Canada_Spring	Canada_Spring_Summer
Z12_IsleofMan_Atlantic_Autumn	Z12_IsleofMan_Atlantic_Autumn	Isle_of_Man	Northeast_Atlantic_Ocean	54.155824	-4.300859	Autumn	C.harengus	89	89	Ireland_Britain	Ireland_Britain
Z14_IsleofMan_Atlantic_Autumn	Z14_IsleofMan_Atlantic_Autumn	Isle_of_Man	Northeast_Atlantic_Ocean	54.155824	-4.300859	Autumn	C.harengus	90	90	Ireland_Britain	Ireland_Britain
Z4_IsleofMan_Atlantic_Autumn	Z4_IsleofMan_Atlantic_Autumn	Isle_of_Man	Northeast_Atlantic_Ocean	54.155824	-4.300859	Autumn	C.harengus	91	91	Ireland_Britain	Ireland_Britain
